"Batter_Name","line_bin","length_bin","Balls","Runs","SR"
"Kusal Mendis","line","full",3,6,200
"Kusal Mendis","off","length",1,1,100
"Kusal Mendis","line","length",1,6,600
"Kusal Mendis","off","back of length",2,1,50
"Kusal Mendis","line","back of length",2,6,300
"BR Sharath","leg","length",1,1,100
"BR Sharath","off","back of length",2,0,0
"BR Sharath","line","short",1,1,100
"BR Sharath","leg","bouncer",1,0,0
"Corbin Bosch","off","yorker",2,3,150
"Corbin Bosch","line","yorker",1,4,400
"Corbin Bosch","leg","yorker",1,4,400
"Corbin Bosch","off","full",3,1,33.33
"Corbin Bosch","leg","full",1,0,0
"Corbin Bosch","off","length",3,5,166.67
"Corbin Bosch","line","length",5,3,60
"Corbin Bosch","leg","length",1,6,600
"Corbin Bosch","off","back of length",1,1,100
"Corbin Bosch","line","back of length",4,8,200
